axis	diff_a_b	p
('savory', 'unsavory')	-0.05971757045182155	0.0
('poor', 'rich')	0.041510024075616624	0.0
('destroyed', 'preserved')	0.039943342812542096	0.0
('bad', 'good')	0.03803175365276613	0.0
('earthly', 'heavenly')	0.037711057939380066	0.0
('loud', 'soft')	0.03753577174136666	0.0
('boneless', 'bony')	-0.03671736547848806	0.0
('tasteless', 'tasty')	0.03457383791673577	0.0
('best', 'worst')	-0.0340353734337251	0.0
('rough', 'smooth')	0.03274204529221123	0.0
('better', 'worse')	-0.03198234584995226	0.0
('fragrant', 'malodorous')	-0.031916557900215164	0.0
('fresh', 'stale')	-0.031249316774938904	0.0
('debilitating', 'invigorating')	0.030550761464395258	0.0
('antagonistic', 'synergistic')	0.03006569610890023	0.0
('difficult', 'easy')	0.02994652219676112	0.0
('topless', 'topped')	0.029001884587377253	0.0
('appetizing', 'unappetizing')	-0.028486555299475858	0.0
('pretentious', 'unpretentious')	0.027763982778776952	0.0
('impotent', 'potent')	0.027411052752238027	0.0
('balanced', 'unbalanced')	-0.027177182562454688	0.0
('cosmopolitan', 'provincial')	-0.025442599653623624	0.0
('cooked', 'raw')	-0.025425589886903563	0.0
('functional', 'organic')	0.025362691318226438	0.0
('naive', 'sophisticated')	0.024993190389113955	0.0
('ill', 'well')	0.023969726219269613	0.0
('beautiful', 'ugly')	-0.02386012767589843	0.0
('fresh', 'preserved')	-0.02340801882593896	0.0
('frail', 'robust')	0.023215096341758813	0.0
('hateful', 'lovable')	0.02302587578802397	0.0
('healthful', 'unhealthful')	-0.022945148265482634	0.0
('obstructed', 'unobstructed')	0.02278225470179677	0.0
('popular', 'unpopular')	-0.022550727649852317	0.0
('prepared', 'unprepared')	-0.02237723140906825	0.0
('friendly', 'hostile')	-0.021798085876822	0.0
('easy', 'uneasy')	-0.02161359407162447	0.0
('least', 'most')	0.021608081287470386	0.0
('found', 'lost')	-0.02154076335767685	0.0
('credible', 'incredible')	0.021381788435213003	0.0
('loaded', 'unloaded')	-0.02115503947895138	0.0
('bowed', 'plucked')	0.02101651723833161	0.0
('useful', 'useless')	-0.020964711915830377	0.0
('factory-made', 'homemade')	0.020858851775608117	0.0
('different', 'same')	-0.020699777595479738	0.0
('reasonable', 'unreasonable')	-0.0205743358631357	0.0
('convenient', 'inconvenient')	-0.0204466798669216	0.0
('abundant', 'scarce')	-0.0202614436885354	0.0
('inside', 'outside')	-0.019863954354906108	0.0
('comfortable', 'uncomfortable')	-0.01970455263191949	0.0
('inorganic', 'organic')	0.01968780776569687	0.0
('expected', 'unexpected')	0.01952373186359687	0.0
('unwholesome', 'wholesome')	0.019451435106775605	0.0
('cheerful', 'depressing')	-0.019289735333702117	0.0
('cool', 'warm')	0.019126020240094087	0.0
('bold', 'timid')	-0.019036907700090623	0.0
('annual', 'perennial')	0.018984994251925905	0.0
('powerful', 'powerless')	-0.018968799312583523	0.0
('pleasant', 'unpleasant')	-0.018819757404277895	0.0
('censored', 'uncensored')	0.01827013574698491	0.0
('evil', 'good')	0.01812991545607956	0.0
('restful', 'restless')	-0.017796652759480985	0.0
('absolute', 'relative')	-0.01775159374856742	0.0
('summery', 'vernal')	-0.01771148229620445	0.0
('flattering', 'unflattering')	-0.017695309705295398	0.0
('impassable', 'passable')	0.017641364271325788	0.0
('happy', 'unhappy')	-0.017348487776773835	0.0
('juiceless', 'juicy')	0.01734808423261469	0.0
('strong', 'weak')	-0.017292552276261308	0.0
('realistic', 'unrealistic')	-0.01719939254834702	0.0
('dull', 'lively')	0.017174940838990294	0.0
('narrow', 'wide')	0.01715804567552768	0.0
('full', 'thin')	0.01713282019633566	0.0
('distrustful', 'trustful')	0.017112703456984114	0.0
('open', 'shut')	-0.017093677627848372	0.0
