axis	diff_a_b	p
('tasteful', 'tasteless')	0.05981923474711891	0.0
('inferior', 'superior')	-0.05144288525050327	0.0
('dull', 'lively')	-0.05068025390330281	0.0
('full', 'thin')	0.050373723281003854	0.0
('comfortable', 'uncomfortable')	0.0498431930148105	0.0
('strong', 'weak')	0.048189282223839586	0.0
('best', 'worst')	0.046914045250442536	0.0
('fortunate', 'unfortunate')	0.046536424737314196	0.0
('negative', 'positive')	-0.04628074961946272	0.0
('irrelevant', 'relevant')	-0.04338375083117345	0.0
('useful', 'useless')	0.04329627825329675	0.0
('smart', 'stupid')	0.03642684728549903	0.0
('bright', 'dull')	0.036029591223341005	0.0
('extraordinary', 'ordinary')	0.035760672276199945	0.0
('glad', 'sad')	0.03450866809349946	0.0
('fast', 'slow')	0.03436144629334744	0.0
('related', 'unrelated')	0.03373354304297135	0.0
('fancy', 'plain')	0.033656717256717074	0.0
('encumbered', 'unencumbered')	-0.03365561617281426	0.0
('dependent', 'independent')	-0.03335492651090887	0.0
('right', 'wrong')	0.033297328091016834	0.0
('gross', 'net')	-0.033144105402899526	0.0
('illiterate', 'literate')	-0.03311519637193651	0.0
('less', 'more')	-0.032153547879371754	0.0
('hopeful', 'hopeless')	0.0318727174824538	0.0
('contemptible', 'estimable')	-0.03164919836874551	0.0
('greater', 'lesser')	0.03157086795332534	0.0
('high', 'low')	0.031091990673415594	0.0
('cheerful', 'depressing')	0.030974752015082513	0.0
('bottom', 'top')	-0.02974923067766122	0.0
('constructive', 'destructive')	0.029464112156565195	0.0
('divided', 'united')	-0.029412489787038424	0.0
('dead', 'live')	-0.029262311024022408	0.0
('intolerant', 'tolerant')	-0.02902686036274448	0.0
('pretentious', 'unpretentious')	-0.028953076734310745	0.0
('empty', 'full')	-0.02837694505462714	0.0
('impossible', 'possible')	-0.02765421938526325	0.0
('intense', 'mild')	0.027228254346028477	0.0
('thrifty', 'wasteful')	0.02689317537091	0.0
('humble', 'proud')	-0.026711762971895425	0.0
('new', 'worn')	0.0266722316512846	0.0
('topless', 'topped')	0.026641911323815496	0.0
('objective', 'subjective')	0.02633610468537135	0.0
('seasonal', 'year-round')	-0.02633015701696903	0.0
('distrustful', 'trustful')	-0.026221562921473235	0.0
('compatible', 'incompatible')	0.02613361043063693	0.0
('custom-made', 'ready-made')	0.025713493782331013	0.0
('boneless', 'bony')	-0.024717967246993898	0.0
('alive', 'dead')	0.024328557915774263	0.0
('selfish', 'unselfish')	-0.023342036612465145	0.0
('malnourished', 'nourished')	-0.02331530418928664	0.0
('awkward', 'graceful')	-0.023314510944704478	0.0
('functional', 'organic')	0.023060175829480375	0.0
('comprehensible', 'incomprehensible')	0.02296541064185375	0.0
('judgmental', 'nonjudgmental')	-0.022810348067918693	0.0
('contaminated', 'uncontaminated')	-0.022492937221351234	0.0
('narrow', 'wide')	-0.022474495681342833	0.0
('former', 'latter')	0.022335405586510454	0.0
('annual', 'perennial')	0.02204844776503654	0.0
('intelligible', 'unintelligible')	0.022022458009241453	0.0
('delicate', 'rugged')	-0.021872364397245256	0.0
('fraternal', 'identical')	0.021697933703019007	0.0
('pointed', 'pointless')	0.02169575218491234	0.0
('cooked', 'raw')	-0.021665528794128412	0.0
('unveiled', 'veiled')	0.02161502356146626	0.0
('comparable', 'incomparable')	-0.021204076942359512	0.0
('bettering', 'worsening')	0.020560434950412484	0.0
('downstairs', 'upstairs')	-0.02020626956275216	0.0
('illegal', 'legal')	-0.020118016604213404	0.0
('cheap', 'expensive')	0.020039429336007684	0.0
('authorized', 'unauthorized')	0.019777296859285087	0.0
('eventful', 'uneventful')	0.019677073636622824	0.0
('new', 'old')	0.019561617293637014	0.0
('conventional', 'unconventional')	-0.019429155416753364	0.0
('punitive', 'rehabilitative')	-0.01930344800809839	0.0
('full-time', 'part-time')	0.019213725377629078	0.0
('dull', 'sharp')	-0.019113778419307947	0.0
('restful', 'restless')	0.01903376961465776	0.0
('questionable', 'unquestionable')	-0.018939877887772183	0.0
('actual', 'potential')	-0.01890895974942211	0.0
('debilitating', 'invigorating')	-0.01887236116982621	0.0
('all', 'some')	0.018679407944914073	0.0
('heterogeneous', 'homogeneous')	0.018432396947707486	0.0
('patterned', 'plain')	0.018204946116941095	0.0
('defensive', 'offensive')	0.018034937739235084	0.0
('hateful', 'lovable')	-0.01779495370722622	0.0
('moving', 'still')	0.0176923607628047	0.0
('early', 'middle')	0.017642519202385368	0.0
('conformist', 'nonconformist')	-0.01757079816678566	0.0
('existent', 'nonexistent')	0.017389552183188325	0.0
('imperishable', 'perishable')	0.017376292027191903	0.0
('heavy', 'light')	-0.01723087594094353	0.0
('center', 'left')	0.017055805087144108	0.0
('covert', 'overt')	0.016955832154469323	0.0
('farsighted', 'nearsighted')	0.01682527800954553	0.0
('difficult', 'easy')	-0.016595860814207233	0.0
('ill-advised', 'well-advised')	-0.01659070960009449	0.0
('acidic', 'alkaline')	-0.016564554581801963	0.0
('inoperable', 'operable')	-0.016556955209276837	0.0
('disproportionate', 'proportionate')	-0.016447991406540713	0.0
('dry', 'wet')	-0.016343283206374005	0.0
('seasonable', 'unseasonable')	0.016211596658389026	0.0
('prejudiced', 'unprejudiced')	-0.016143494188560224	0.0
('knowable', 'unknowable')	0.016026744668329124	0.0
('loud', 'soft')	0.016022680359851896	0.0
('animate', 'inanimate')	0.01600627568696737	0.0
('broad-minded', 'narrow-minded')	0.01587167307786508	0.0
('censored', 'uncensored')	-0.015857704343190143	0.0
('all', 'no')	0.01576666140909464	0.0
('maximum', 'minimum')	0.015256021351261646	0.0
('precocious', 'retarded')	0.015242526249114013	0.0
('impartial', 'partial')	0.015213588222417685	0.0
('ambiguous', 'unambiguous')	-0.015204409404093247	0.0
('hurried', 'unhurried')	-0.01518624257263776	0.0
('normal', 'paranormal')	-0.015179896466196025	0.0
('concentrated', 'distributed')	-0.014962660002795766	0.0
('savory', 'unsavory')	-0.014957629807298034	0.001
('familiar', 'strange')	0.014926955947162306	0.0
('hardhearted', 'softhearted')	-0.014888966315847376	0.0
('dark', 'light')	-0.014830042178314226	0.0
('analytic', 'synthetic')	0.014697932601413562	0.0
('bisexual', 'homosexual')	0.014659390560927075	0.0
('breakable', 'unbreakable')	-0.01462638663430505	0.0
('bowed', 'plucked')	0.014574685226199636	0.0
('nonpartisan', 'partisan')	0.014568728834168945	0.0
('three-piece', 'two-piece')	0.014524765161706093	0.0
('few', 'many')	-0.01429895458140441	0.0
('overhead', 'surface')	0.014221454351828235	0.0
('cold', 'hot')	-0.014051297270226729	0.0
('little', 'much')	-0.013904216547989911	0.0
('rimless', 'rimmed')	0.01377399407379061	0.0
('common', 'individual')	-0.013752388891380838	0.0
('amicable', 'hostile')	0.013640620712755937	0.0
('restrictive', 'unrestrictive')	-0.013478882910979012	0.0
('pronounceable', 'unpronounceable')	0.013343991495553993	0.0
('big', 'little')	0.013323093779224013	0.0
('painful', 'painless')	-0.013251826726982094	0.0
('congruous', 'incongruous')	0.013225983874006253	0.0
('unwrinkled', 'wrinkled')	0.013117954258140302	0.0
('disingenuous', 'ingenuous')	-0.012816055404828941	0.0
('far', 'near')	-0.012601275921440377	0.001
('distinguishable', 'indistinguishable')	0.012352624876643344	0.0
('consumptive', 'generative')	-0.012238922932315556	0.0
('conventional', 'nuclear')	-0.012182975368899627	0.0
('late', 'middle')	0.012140687071667372	0.0
('out', 'safe')	-0.01210294440959338	0.001
