axis	diff_a_b	p
('abstract', 'concrete')	0.0015159870921918409	0.0
('adnate', 'connate')	0.0006098890301590833	0.0
('aft', 'fore')	0.001981190055900959	0.0
('angular', 'rounded')	0.001764441012441307	0.0
('apocrine', 'eccrine')	0.000505710388229225	0.0
('asynchronous', 'synchronous')	0.0008140472947560824	0.0
('back', 'front')	0.006639577013890081	0.0
('cacophonous', 'euphonious')	0.0027446241199155464	0.0
('confined', 'invasive')	0.0013710263920314507	0.0
('curved', 'straight')	0.004539365861556885	0.0
('dangerous', 'safe')	0.0026865761066412978	0.0
('dark', 'light')	0.00214622563523213	0.0
('deductive', 'inductive')	0.0009442678740885493	0.0
('dejected', 'elated')	0.0018994348574908164	0.0
('disorienting', 'orienting')	0.002796189175128521	0.0
('disproportionate', 'proportionate')	0.0016638837622428206	0.0
('dull', 'sharp')	0.0023306908311433224	0.0
('fallible', 'infallible')	0.0011500627037991516	0.0
('flat', 'sharp')	0.0013805282391650252	0.0
('forgiving', 'unforgiving')	0.0022616051698534792	0.0
('formal', 'informal')	0.001402276495026042	0.0
('gabled', 'hipped')	0.0012684657327936139	0.0
('geographic', 'magnetic')	0.0016269634398953614	0.0
('heavy', 'light')	0.0016067998028479386	0.0
('horizontal', 'inclined')	0.0027852733535725597	0.0
('inclined', 'vertical')	0.002692300278068379	0.0
('instrumental', 'vocal')	0.0019038158319464988	0.0
('involuntary', 'voluntary')	0.0019908955720054876	0.0
('irreversible', 'reversible')	0.002261792938008568	0.0
('keyed', 'keyless')	0.0008365836928597142	0.0
('large', 'small')	0.0018066884595594928	0.0
('leaded', 'unleaded')	0.001777658538249024	0.0
('legato', 'staccato')	0.0027065023385791924	0.0
('lentic', 'lotic')	0.0006390234529772543	0.0
('loud', 'soft')	0.007406650117075794	0.0
('matched', 'mismatched')	0.003417449313554281	0.0
('narrow', 'wide')	0.0020829244921485874	0.0
('new', 'worn')	0.0027684854889031083	0.0
('noisy', 'quiet')	0.004410457847465323	0.0
('numerical', 'verbal')	0.0016773111408139021	0.0
('oblique', 'perpendicular')	0.0012494819876664415	0.0
('patterned', 'plain')	0.0019568170001480895	0.0
('prepared', 'unprepared')	0.0038023856182098515	0.0
('radiolucent', 'radiopaque')	0.000809306070503087	0.0
('sanitary', 'unsanitary')	0.00402868343541062	0.0
('shaven', 'unshaven')	0.0014165172020772139	0.0
('sheathed', 'unsheathed')	0.0018577545274672102	0.0
('short', 'tall')	0.0021326562529641784	0.0
