axis	diff_a_b	p
('best', 'worst')	0.007142774658170016	0.0
('right', 'wrong')	0.00679769222375654	0.0
('necessary', 'unnecessary')	0.006037662075728641	0.0
('smart', 'stupid')	0.005154958546448705	0.0
('better', 'worse')	0.005100129935526495	0.0
('appropriate', 'inappropriate')	0.005079936324567654	0.0
('fortunate', 'unfortunate')	0.004686511573048341	0.0
('insecure', 'secure')	0.004575537059931795	0.0
('fair', 'unfair')	0.004308074486562712	0.0
('original', 'unoriginal')	0.003918810181397992	0.0
('irrelevant', 'relevant')	0.0038886891160786977	0.0
('professional', 'unprofessional')	0.003791875504035834	0.001
('pretentious', 'unpretentious')	0.0037470002767588766	0.0
('bad', 'good')	0.0036479651053534443	0.001
('adequate', 'inadequate')	0.0035660963171913838	0.0
('pointed', 'pointless')	0.0035153983905224454	0.0
('convenient', 'inconvenient')	0.003430423205146674	0.0
('open', 'shut')	0.0033601531262663544	0.0
('acceptable', 'unacceptable')	0.00332540383293755	0.0
('pleasant', 'unpleasant')	0.003299831286618581	0.0
('unwanted', 'wanted')	0.003190419820946323	0.0
('center', 'left')	0.003142614766844699	0.0
('competent', 'incompetent')	0.0030689778133216623	0.0
('desirable', 'undesirable')	0.002969145827077607	0.0
('beautiful', 'ugly')	0.002950952391400972	0.005
('popular', 'unpopular')	0.0029473658141765113	0.0
('far', 'near')	0.0029069815745623034	0.0
('foolish', 'wise')	0.002899401841880136	0.0
('settled', 'unsettled')	0.0028865203357092643	0.0
('happy', 'unhappy')	0.002871749985174794	0.001
('attractive', 'unattractive')	0.002833045921982663	0.002
('prepared', 'unprepared')	0.002812828043118675	0.0
('dull', 'lively')	0.002802627478835395	0.0
('moved', 'unmoved')	0.0027974532903179052	0.0
('consistent', 'inconsistent')	0.002790991226171928	0.003
('lucky', 'unlucky')	0.0027404882513724846	0.0
('glad', 'sad')	0.002722983140474135	0.0
('contemptible', 'estimable')	0.00270488387211377	0.0
('irresponsible', 'responsible')	0.0027018969701170462	0.0
('misused', 'used')	0.0026761885931045094	0.001
('characteristic', 'uncharacteristic')	0.0026264006649692542	0.0
('healthy', 'unhealthy')	0.002625227054343421	0.0
('disorganized', 'organized')	0.0026063405004672236	0.001
('naive', 'sophisticated')	0.00260048268091022	0.0
('useful', 'useless')	0.00257185501098447	0.0
('unwelcome', 'welcome')	0.0025489355935875927	0.0
('hopeful', 'hopeless')	0.002529288110000051	0.0
('thrifty', 'wasteful')	0.002493020220536074	0.0
('hateful', 'lovable')	0.0024832844679452274	0.0
('selfish', 'unselfish')	0.002466805858621057	0.0
('cheerful', 'depressing')	0.0024388496218509526	0.0
('disingenuous', 'ingenuous')	0.002424652104006931	0.0
('qualified', 'unqualified')	0.002408028552977868	0.0
('rested', 'tired')	0.002396703418037934	0.0
('comfortable', 'uncomfortable')	0.0023939176958187054	0.002
('satisfactory', 'unsatisfactory')	0.0023923434516361997	0.0
('natural', 'unnatural')	0.002372115865142634	0.002
('nonpartisan', 'partisan')	0.0023451091933537936	0.0
('dangerous', 'safe')	0.0023450374985830493	0.0
('prejudiced', 'unprejudiced')	0.002336470124294567	0.0
('go', 'no-go')	0.002276422422697797	0.038
('intended', 'unintended')	0.00227315270886999	0.0
('cooperative', 'uncooperative')	0.0022623253983192013	0.0
('correct', 'incorrect')	0.002259344612092283	0.0
('available', 'unavailable')	0.00224239828921388	0.0
('just', 'unjust')	0.002187746294664051	0.0
('valuable', 'worthless')	0.002175589122355919	0.005
('informed', 'uninformed')	0.002172758226638597	0.0
('disrespectful', 'respectful')	0.0021557890124333113	0.002
('past', 'present')	0.0021035812884091717	0.0
('strong', 'weak')	0.0020362903691945565	0.005
('antagonistic', 'synergistic')	0.0020295556934428055	0.0
('insensitive', 'sensitive')	0.0020019989697461996	0.001
('agreeable', 'disagreeable')	0.0019782791899600532	0.0
('effective', 'ineffective')	0.0019761612418765628	0.007
('reasonable', 'unreasonable')	0.0019754644805305716	0.007
('ill-advised', 'well-advised')	0.0019642302452148605	0.0
('bright', 'dull')	0.0019220122567518948	0.0
('immature', 'mature')	0.001907904351866949	0.0
('away', 'home')	0.0019072291544450504	0.0
('disproportionate', 'proportionate')	0.0018506894170710305	0.0
('educated', 'uneducated')	0.0018417237703442727	0.002
('precocious', 'retarded')	0.0018384231900702586	0.0
('intemperate', 'temperate')	0.0018218117966226138	0.0
('nasty', 'nice')	0.0018147689277383996	0.016
('broad-minded', 'narrow-minded')	0.0018056474325918283	0.0
('careful', 'careless')	0.0017780505599435913	0.007
('insufficient', 'sufficient')	0.001769479030472764	0.003
