axis	diff_a_b	p
('cheap', 'expensive')	0.006179312150394011	0.0
('credible', 'incredible')	0.004562136848605052	0.0
('reasonable', 'unreasonable')	0.0035644491498965994	0.0
('high', 'low')	0.003040074363178823	0.0
('less', 'more')	0.002980999317227128	0.0
('comparable', 'incomparable')	0.002877919966561308	0.001
('closing', 'opening')	0.002821324430632128	0.0
('evil', 'good')	0.0028196531515490442	0.0
('compact', 'loose')	0.0028086817527488393	0.0
('intelligible', 'unintelligible')	0.0027710412868943296	0.0
('bad', 'good')	0.0027460871753326073	0.013
('liquid', 'solid')	0.002666572443753245	0.0
('illegible', 'legible')	0.002645698112346869	0.0
('least', 'most')	0.0025615913777402594	0.0
('determinable', 'indeterminable')	0.002534597389965915	0.0
('fast', 'slow')	0.002348243121683388	0.001
('nominal', 'real')	0.0023178051189697083	0.001
('responsive', 'unresponsive')	0.0021949521484934363	0.0
('conscious', 'unconscious')	0.0021845210122632642	0.0
('fair', 'foul')	0.0021776188145588423	0.0
('fractional', 'whole')	0.0021697336237502945	0.0
('out', 'safe')	0.002158375138792924	0.0
('comprehensible', 'incomprehensible')	0.0021424473582313938	0.0
('imperishable', 'perishable')	0.002113457908296667	0.0
('immeasurable', 'measurable')	0.0020727418387250715	0.0
('busy', 'idle')	0.002066975482198731	0.0
('nasty', 'nice')	0.0020218161980930446	0.015
('finite', 'infinite')	0.0019652632407809126	0.0
('reliable', 'unreliable')	0.0019573158042856618	0.021
('beneficent', 'maleficent')	0.0018639306275621131	0.0
('counterfeit', 'genuine')	0.001854785610381991	0.001
('continued', 'discontinued')	0.0018402893774835134	0.0
('trustworthy', 'untrustworthy')	0.0018388147295216317	0.007
('serviceable', 'unserviceable')	0.001774121646169106	0.002
('painful', 'painless')	0.0017265256187385739	0.003
('bound', 'free')	0.0017247959364436512	0.0
('irrational', 'rational')	0.0017226194722152104	0.0
('agreeable', 'disagreeable')	0.0017205798416316323	0.001
('extraordinary', 'ordinary')	0.0016829993233643398	0.033
('pronounceable', 'unpronounceable')	0.0016826239656171846	0.0
('hollow', 'solid')	0.0016655850755723598	0.0
('insane', 'sane')	0.00164380168817362	0.001
('functional', 'organic')	0.0016200402968854413	0.001
('rimless', 'rimmed')	0.0016039222973336697	0.0
('future', 'past')	0.0016028292390203175	0.001
('competent', 'incompetent')	0.0015940766364119317	0.015
('fat', 'thin')	0.001568772052389921	0.0
('compatible', 'incompatible')	0.0014020815794579568	0.009
('half', 'whole')	0.0013915757272766251	0.001
('friendly', 'hostile')	0.0013601678988902181	0.049
('intolerable', 'tolerable')	0.001339436007182746	0.0
('calculable', 'incalculable')	0.0013327301064373987	0.0
('flat', 'natural')	0.0013077123270789437	0.001
('found', 'lost')	0.0013002326382377805	0.001
('gaseous', 'solid')	0.0012945098357678552	0.021
('decent', 'indecent')	0.0012910081880317809	0.033
('empty', 'full')	0.0012470402404299724	0.01
('distrustful', 'trustful')	0.0012288136975597812	0.0
