axis	diff_a_b	p
('acidic', 'alkaline')	0.0009893532655230325	0.0
('air-to-air', 'surface-to-air')	0.0006652981579279419	0.0
('beneficent', 'maleficent')	0.0018639306275621131	0.0
('bound', 'free')	0.0017247959364436512	0.0
('branchless', 'branchy')	0.000572419482509016	0.0
('busy', 'idle')	0.002066975482198731	0.0
('cacophonous', 'euphonious')	0.0008918135812097513	0.0
('calculable', 'incalculable')	0.0013327301064373987	0.0
('cheap', 'expensive')	0.006179312150394011	0.0
('chromatic', 'diatonic')	0.0007070605916925615	0.0
('closing', 'opening')	0.002821324430632128	0.0
('compact', 'loose')	0.0028086817527488393	0.0
('comprehensible', 'incomprehensible')	0.0021424473582313938	0.0
('concave', 'convex')	0.0010020685360900487	0.0
('conscious', 'unconscious')	0.0021845210122632642	0.0
('continued', 'discontinued')	0.0018402893774835134	0.0
('credible', 'incredible')	0.004562136848605052	0.0
('dark', 'light')	0.001196795996227601	0.0
('depressant', 'stimulative')	0.0009654209856471418	0.0
('determinable', 'indeterminable')	0.002534597389965915	0.0
('dextral', 'sinistral')	0.0006706045738769676	0.0
('dioecious', 'monoecious')	0.0005205979104309184	0.0
('distrustful', 'trustful')	0.0012288136975597812	0.0
('dystopian', 'utopian')	0.0007370083016932038	0.0
('ectomorphic', 'endomorphic')	0.0004330254895582584	0.0
('evil', 'good')	0.0028196531515490442	0.0
('fair', 'foul')	0.0021776188145588423	0.0
('fat', 'thin')	0.001568772052389921	0.0
('finite', 'infinite')	0.0019652632407809126	0.0
('foreign', 'native')	0.0009547983221384658	0.0
('fractional', 'whole')	0.0021697336237502945	0.0
('heterosexual', 'homosexual')	0.0010197368206621231	0.0
('high', 'low')	0.003040074363178823	0.0
('hollow', 'solid')	0.0016655850755723598	0.0
('illegible', 'legible')	0.002645698112346869	0.0
('immeasurable', 'measurable')	0.0020727418387250715	0.0
('imperishable', 'perishable')	0.002113457908296667	0.0
('intelligible', 'unintelligible')	0.0027710412868943296	0.0
('intolerable', 'tolerable')	0.001339436007182746	0.0
('irrational', 'rational')	0.0017226194722152104	0.0
('keyed', 'keyless')	0.000954137485926738	0.0
('least', 'most')	0.0025615913777402594	0.0
('less', 'more')	0.002980999317227128	0.0
('liquid', 'solid')	0.002666572443753245	0.0
('odorless', 'odorous')	0.0008114573751238853	0.0
('out', 'safe')	0.002158375138792924	0.0
('predictable', 'unpredictable')	0.0008266308708946694	0.0
('privileged', 'underprivileged')	0.0009267453812943881	0.0
('pronounceable', 'unpronounceable')	0.0016826239656171846	0.0
('punitive', 'rehabilitative')	0.0008936951068806882	0.0
('qualitative', 'quantitative')	0.000841918413306489	0.0
('reasonable', 'unreasonable')	0.0035644491498965994	0.0
('recoverable', 'unrecoverable')	0.001135915857604113	0.0
('responsive', 'unresponsive')	0.0021949521484934363	0.0
('rimless', 'rimmed')	0.0016039222973336697	0.0
('seasonable', 'unseasonable')	0.0012207420289013786	0.0
('traceable', 'untraceable')	0.0010261695452923204	0.0
('agreeable', 'disagreeable')	0.0017205798416316323	0.001
('autotrophic', 'heterotrophic')	0.0003304146682324416	0.001
('bicameral', 'unicameral')	0.0003674850951361753	0.001
('comparable', 'incomparable')	0.002877919966561308	0.001
('compliant', 'defiant')	0.0010511479702925318	0.001
('conclusive', 'inconclusive')	0.0007330162740170924	0.001
('counterfeit', 'genuine')	0.001854785610381991	0.001
('declaratory', 'interrogatory')	0.0006222792556074513	0.001
('defeasible', 'indefeasible')	0.0002278443110915907	0.001
('expressible', 'inexpressible')	0.0009115357068747477	0.001
('fast', 'slow')	0.002348243121683388	0.001
('flat', 'natural')	0.0013077123270789437	0.001
('found', 'lost')	0.0013002326382377805	0.001
('functional', 'organic')	0.0016200402968854413	0.001
('future', 'past')	0.0016028292390203175	0.001
('half', 'whole')	0.0013915757272766251	0.001
('insane', 'sane')	0.00164380168817362	0.001
('lowercase', 'uppercase')	0.0005168027041610734	0.001
('maternal', 'paternal')	0.0010204582553120147	0.001
('maximum', 'minimum')	0.0008404895393628979	0.001
('nominal', 'real')	0.0023178051189697083	0.001
('actinomorphic', 'zygomorphic')	0.0002701496873742065	0.002
('additive', 'subtractive')	0.0011256873792761402	0.002
('ambiguous', 'unambiguous')	0.0010233630567837975	0.002
('eradicable', 'ineradicable')	0.00048286163752209177	0.002
('illegal', 'legal')	0.0008251376636705101	0.002
('imperceptible', 'perceptible')	0.0003972948423181491	0.002
('preceding', 'succeeding')	0.0007039377840659918	0.002
('serviceable', 'unserviceable')	0.001774121646169106	0.002
('admissible', 'inadmissible')	0.0005322603214253014	0.003
('aqueous', 'igneous')	0.0006263545684406478	0.003
('extinguishable', 'inextinguishable')	0.000412644862637904	0.003
('intolerant', 'tolerant')	0.0008998853297055211	0.003
('narrow', 'wide')	0.0010205920116018452	0.003
('painful', 'painless')	0.0017265256187385739	0.003
('weightless', 'weighty')	0.0006417003418683759	0.003
('centrifugal', 'centripetal')	0.0006622308014415891	0.004
('international', 'national')	0.0005127272272052526	0.004
('born', 'unborn')	0.0009178889854369356	0.005
('curable', 'incurable')	0.0005411578333898168	0.005
('eastern', 'western')	0.0005980245437277529	0.005
('knowable', 'unknowable')	0.0005411107499702027	0.005
('agnostic', 'gnostic')	0.0008012259787993853	0.006
('multinucleate', 'uninucleate')	0.00029317421586679514	0.006
('analytic', 'synthetic')	0.0005443589974987312	0.007
('disproportionate', 'proportionate')	0.0008639542910218135	0.007
('eventful', 'uneventful')	0.0006406662812929531	0.007
('impassable', 'passable')	0.001117551645099201	0.007
('trustworthy', 'untrustworthy')	0.0018388147295216317	0.007
('lax', 'tense')	0.0007823264353919585	0.008
('compatible', 'incompatible')	0.0014020815794579568	0.009
('masculine', 'neuter')	0.0007676175560704561	0.009
('anterior', 'posterior')	0.00038628593013348856	0.01
('empty', 'full')	0.0012470402404299724	0.01
('cardinal', 'ordinal')	0.0006382614028744259	0.011
('exclusive', 'inclusive')	0.0005554020598927721	0.011
('external', 'internal')	0.0003246535438004867	0.011
('one-piece', 'two-piece')	0.0003379442667368537	0.011
('thick', 'thin')	0.00046972119374298236	0.011
('alternating', 'direct')	0.001003017777167289	0.012
('bad', 'good')	0.0027460871753326073	0.013
('past', 'present')	0.0012253143725029642	0.013
('amicable', 'hostile')	0.0006749648722858834	0.015
('competent', 'incompetent')	0.0015940766364119317	0.015
('nasty', 'nice')	0.0020218161980930446	0.015
('benign', 'malignant')	0.00052059378959868	0.016
('farsighted', 'nearsighted')	0.0005008039205163179	0.016
('improbable', 'probable')	0.0009862442983826986	0.016
('smokeless', 'smoky')	0.0006832619547346699	0.016
('insolvent', 'solvent')	0.0007585478908467913	0.017
('diploid', 'haploid')	0.00020731893647609563	0.018
('wired', 'wireless')	0.0005736261292444188	0.018
('lowland', 'upland')	0.0002986627367594936	0.019
('connotative', 'denotative')	0.00030823872477835556	0.02
('fingered', 'fingerless')	0.0005456902478905368	0.02
('gaseous', 'solid')	0.0012945098357678552	0.021
('north', 'south')	0.0003492754075451461	0.021
('reliable', 'unreliable')	0.0019573158042856618	0.021
