axis	diff_a_b	p
('hospitable', 'inhospitable')	0.010638775979392	0.0
('cheerful', 'depressing')	0.007801377812127081	0.0
('friendly', 'hostile')	0.007410791271918552	0.0
('courteous', 'discourteous')	0.006305345418808343	0.0
('attentive', 'inattentive')	0.00629956691444593	0.0
('proactive', 'retroactive')	0.005588907245095607	0.0
('disrespectful', 'respectful')	0.005263543786446787	0.0
('considerate', 'inconsiderate')	0.004900156470155039	0.0
('incoming', 'outgoing')	0.004827298939113287	0.0
('out', 'safe')	0.004722680012557703	0.0
('bad', 'good')	0.004412607124206512	0.0
('inferior', 'superior')	0.004115899271743932	0.0
('insane', 'sane')	0.004078610903621094	0.0
('pleasant', 'unpleasant')	0.003972750184434838	0.0
('punctual', 'unpunctual')	0.0036793306043307987	0.0
('comfortable', 'uncomfortable')	0.0035559410287932247	0.0
('approachable', 'unapproachable')	0.0035103706570295927	0.0
('sociable', 'unsociable')	0.0033166724690191496	0.0
('impartial', 'partial')	0.0032833757060322473	0.0
('efficient', 'inefficient')	0.003250601999737859	0.0
('illiterate', 'literate')	0.0031666078089762724	0.0
('smart', 'stupid')	0.003161376012094314	0.0
('selfish', 'unselfish')	0.003075641351629535	0.0
('seated', 'standing')	0.0030730447135366244	0.0
('easy', 'uneasy')	0.0029642406246891163	0.0
('comprehensible', 'incomprehensible')	0.002929758295344566	0.0
('negative', 'positive')	0.0028370658564984656	0.0
('powerful', 'powerless')	0.002816443301300965	0.0
('coldhearted', 'warmhearted')	0.0026368026288996274	0.0
('friendly', 'unfriendly')	0.002622331712202325	0.0
('pretentious', 'unpretentious')	0.002546510544753902	0.0
('calm', 'stormy')	0.002543113250446042	0.0
('counterfeit', 'genuine')	0.0025025766967697455	0.0
('induced', 'spontaneous')	0.0024789816357938532	0.0
('extraordinary', 'ordinary')	0.002458583055435533	0.001
('contaminated', 'uncontaminated')	0.002368868114034051	0.0
('clean', 'dirty')	0.002344708437959659	0.0
('reliable', 'unreliable')	0.002285974869628095	0.001
('intractable', 'tractable')	0.002261727478133884	0.0
('responsive', 'unresponsive')	0.0022393197855862766	0.0
('running', 'standing')	0.0022225971584408947	0.0
('impolite', 'polite')	0.0022155517848214176	0.0
('illegible', 'legible')	0.0022065264020537396	0.0
('credible', 'incredible')	0.002142902268952765	0.001
('obtrusive', 'unobtrusive')	0.0021330738622014163	0.0
('bold', 'timid')	0.0021186164386041498	0.0
('diligent', 'negligent')	0.002111471764649658	0.0
('dominant', 'subordinate')	0.002096485993308266	0.0
('affected', 'unaffected')	0.0020690149487641862	0.0
('scrupulous', 'unscrupulous')	0.0020599423577855663	0.0
('monolingual', 'multilingual')	0.0020374794799156984	0.0
('nasty', 'nice')	0.0019984838369380437	0.002
('manned', 'unmanned')	0.001983044878520872	0.0
('useful', 'useless')	0.0019822650460201464	0.001
('hurried', 'unhurried')	0.0019775325783702655	0.0
('fast', 'slow')	0.0019587794746863856	0.0
('blessed', 'cursed')	0.0019577620969106063	0.0
('difficult', 'easy')	0.0019540948558487772	0.0
('former', 'latter')	0.0018316893186259425	0.0
('evil', 'good')	0.001807476290706456	0.0
('civilian', 'military')	0.0018034754480791733	0.0
('imperishable', 'perishable')	0.0017584574789761024	0.0
('old', 'young')	0.0017496329568753863	0.0
('restful', 'restless')	0.0017409835235689336	0.0
('virtuous', 'wicked')	0.001735055214950044	0.0
('cared-for', 'uncared-for')	0.0017339683461109947	0.0
('disobedient', 'obedient')	0.0017317348034564155	0.0
('concerned', 'unconcerned')	0.001717504612266458	0.014
('humane', 'inhumane')	0.0017135826192436372	0.0
('off-site', 'on-site')	0.0016983390439241717	0.0
('anti-American', 'pro-American')	0.0016950145317850196	0.0
('beautiful', 'ugly')	0.0016657473056346898	0.03
('sure', 'unsure')	0.0016598603644454937	0.001
('intolerant', 'tolerant')	0.0016555093838559595	0.0
